标题,详情页url,图片url,类型,关键字,星级,作者
Translate programming languages 编程语言之间的相互转换\翻译,https://gpt.candobear.com//prompt/prompt-1001gptgpt/translate-programming-languages,-,coding,-,★★★★☆,-
SQL translate 自然语言翻译为SQL查询,https://gpt.candobear.com//prompt/prompt-1001gptgpt/sql-translate-sql,-,coding,-,★★★☆☆,-
使用自然语言调用API,https://gpt.candobear.com//prompt/prompt-1001gptgpt/api,-,coding,-,★★★★★,-
Text to command 文本转命令,https://gpt.candobear.com//prompt/prompt-1001gptgpt/text-to-command,-,coding,-,★★★★★,-
"📧,协助起草给老师的英文邮件",https://gpt.candobear.com//prompt/prompt-1001gptgpt/a,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F9bf29624-3795-4bd9-b487-0600e321c6f9%2FUntitled.png&w=3840&q=80,写作类,"写作,沟通,英语",★★★☆☆,-
Chat 聊天,https://gpt.candobear.com//prompt/prompt-1001gptgpt/chat,-,休闲娱乐,-,★☆☆☆☆,-
Friend chat,https://gpt.candobear.com//prompt/prompt-1001gptgpt/friend-chat,-,休闲娱乐,-,★☆☆☆☆,-
Marv the sarcastic chat bot 阴阳怪气聊天,https://gpt.candobear.com//prompt/prompt-1001gptgpt/marv-the-sarcastic-chat-bot,-,休闲娱乐,-,★☆☆☆☆,-
"👻,Micro horror story creator ",https://gpt.candobear.com//prompt/prompt-1001gptgpt/micro-horror-story-creator-scary-four-word-story,-,休闲娱乐,-,★☆☆☆☆,-
Movie to Emoji 【emoji化】,https://gpt.candobear.com//prompt/prompt-1001gptgpt/movie-to-emoji-emoji,-,休闲娱乐,-,★☆☆☆☆,-
Third-person converter,https://gpt.candobear.com//prompt/prompt-1001gptgpt/third-person-converter,-,休闲娱乐,-,★☆☆☆☆,-
Restaurant review creator 大众点评,https://gpt.candobear.com//prompt/prompt-1001gptgpt/restaurant-review-creator,-,日常助手,-,★★☆☆☆,-
Recipe creator (eat at your own risk) 生成菜谱,https://gpt.candobear.com//prompt/prompt-1001gptgpt/recipe-creator-eat-at-your-own-risk,-,日常助手,-,★★☆☆☆,-
